,,,,,,,,,,,,,,,,bulk pricing,,,,,,,,,,,,,,,,,,,,
store,store link,product link,brand,model,regular price,sale price (if applicable),top,chemistry,nominal capacity (mAh),continuous discharge rating max (A),nominal voltage,maximum voltage,protected,weight (g),datasheet,range 1 min,range 1 max,range 1 price,range 2 min,range 2 max,rage 2 price,range 3 min,range 3 max,range 3 price,range 4 min,range 4 max,range 4 price,range 5 min,range 5 max,range 5 price,range 6 min,range 6 max,range 6 price,range 6 min,range 6 max,range 6 price
18650 battery store,https://www.18650batterystore.com/collections/18650-batteries?pf_st_stock_status=true,https://www.18650batterystore.com/collections/18650-batteries/products/samsung-25r-18650,Samsung,25R,3.99,-1,flat top,INR,2500,20,22.13,3.6,4.2,no,43.04,https://cdn.shopify.com/s/files/1/0481/9678/0183/files/samsung_25r_data_sheet.pdf?v=1605015771,10,50,3.85,51,100,3.75,101,200,3.65,201,400,3.55,401,1000,3.45,1001,5000,3.25,5000,-1,3.15
18650 battery store,https://www.18650batterystore.com/collections/18650-batteries?pf_st_stock_status=true,https://www.18650batterystore.com/collections/18650-batteries/products/molicel-p28a,Moicel,p28a,5.99,4.99,flat top,INR,2800,35,20,3.6,4.2,no,45.18,https://cdn.shopify.com/s/files/1/0481/9678/0183/files/INR18650P28A-V1-80093_900a9c5f-df75-494e-8d58-44e375041d8b.pdf?v=1663385054,10,50,4.5,51,100,4,101,200,3.9,201,400,3.8,401,1000,3.7,1001,5000,3.65,5000,-1,3.6
18650 battery store,https://www.18650batterystore.com/collections/18650-batteries?pf_st_stock_status=true,https://www.18650batterystore.com/collections/18650-batteries/products/hohm-tech-life,Hohm Tech,life v4,8.99,6.99,flat top,NMC,3015,22.1,20,3.65,4.2,no,49.6,https://cdn.shopify.com/s/files/1/0481/9678/0183/files/hohmtech_life.pdf?v=1605879846,10,50,6.75,51,100,6.5,101,400,6.25,401,1000,6,1001,-1,5.75,0,0,0,0,0,0
